event_id,ts,customer_id,event_type,src_country,device_id,bytes_out,key_exchange,success
evt_000001,2026-06-13T00:00:23.570603+05:30,cust_0218,login,IN,dev_D4944020,970,RSA-2048,True
evt_000002,2026-06-13T00:05:43.718763+05:30,cust_0353,login,IN,dev_D583EE54,362,ECDHE-P256,True
evt_000003,2026-06-13T00:10:38.499484+05:30,cust_0334,vpn,IN,dev_2C382A07,1148,ML-KEM-768,True
evt_000004,2026-06-13T00:10:38.886901+05:30,cust_0179,vpn,IN,dev_4501BAFE,501,ECDHE-P256,True
evt_000005,2026-06-13T00:14:48.844347+05:30,cust_0268,tls_session,IN,dev_015E40C6,16027,ECDHE-P256,True
evt_000006,2026-06-13T00:15:15.563765+05:30,cust_0198,file_transfer,IN,dev_6494D45A,154677,ECDH-P384,True
evt_000007,2026-06-13T00:17:31.195695+05:30,cust_0008,tls_session,IN,dev_4F7FD633,35521,ECDH-P384,True
evt_000008,2026-06-13T00:24:45.230436+05:30,cust_0228,login,IN,dev_3BF2E641,139,RSA-2048,True
evt_000009,2026-06-13T00:28:36.713490+05:30,cust_0375,login,IN,dev_A9BD1C76,327,ML-KEM-768,True
evt_000010,2026-06-13T00:29:11.014479+05:30,cust_0043,vpn,IN,dev_2667A408,220,ML-KEM-768,True
evt_000011,2026-06-13T00:31:04.796053+05:30,cust_0073,login,IN,dev_6AFCA5EA,383,ECDHE-P256,True
evt_000012,2026-06-13T00:43:27.777416+05:30,cust_0159,vpn,IN,dev_77D8B4AF,992,ECDHE-P256,True
evt_000013,2026-06-13T00:47:03.659027+05:30,cust_0358,file_transfer,RU,dev_3304ABBB,4516,ECDHE-P256,True
evt_000014,2026-06-13T01:00:19.655930+05:30,sys_012,vpn,IN,dev_sys_012,52525,RSA-2048,True
evt_000015,2026-06-13T01:02:44.241671+05:30,cust_0237,tls_session,IN,dev_F1DCF3EF,23925,ECDH-P384,True
evt_000016,2026-06-13T01:08:10.673099+05:30,cust_0131,tls_session,IN,dev_8F3749EA,11207,ECDH-P384,True
evt_000017,2026-06-13T01:09:33.186366+05:30,cust_0419,login,IN,dev_AD177207,351,ECDHE-P256,True
evt_000018,2026-06-13T01:13:02.793143+05:30,cust_0007,tls_session,IN,dev_21A278F6,8840,RSA-2048,True
evt_000019,2026-06-13T01:27:38.336352+05:30,cust_0481,tls_session,IN,dev_555AFD87,6502,ECDHE-P256,True
