txn_id,ts,customer_id,channel,amount_inr,beneficiary_id,beneficiary_added_ts
txn_000001,2026-06-13T00:03:00.202656+05:30,cust_0128,UPI,2479.17,ben_72117088,2026-05-02T23:59:59+05:30
txn_000002,2026-06-13T00:11:30.880702+05:30,cust_0203,UPI,2351.43,ben_65686295,2025-07-27T23:59:59+05:30
txn_000003,2026-06-13T00:40:07.921429+05:30,cust_0119,UPI,776.78,ben_33930493,2025-06-26T23:59:59+05:30
txn_000004,2026-06-13T00:56:39.357347+05:30,cust_0107,UPI,2691.73,ben_65507846,2025-12-17T23:59:59+05:30
txn_000005,2026-06-13T01:07:53.912221+05:30,cust_0023,NEFT,436920.07,ben_80123428,2026-04-14T23:59:59+05:30
txn_000006,2026-06-13T01:09:56.647130+05:30,cust_0291,UPI,3460.75,ben_05302618,2025-12-06T23:59:59+05:30
txn_000007,2026-06-13T01:11:01.574472+05:30,cust_0450,UPI,2287.6,ben_22131701,2025-07-16T23:59:59+05:30
txn_000008,2026-06-13T01:11:04.259635+05:30,cust_0213,UPI,1234.87,ben_18915673,2025-05-29T23:59:59+05:30
txn_000009,2026-06-13T01:19:44.105285+05:30,cust_0235,UPI,368.19,ben_81822387,2026-01-06T23:59:59+05:30
txn_000010,2026-06-13T01:23:12.072415+05:30,cust_0428,NEFT,923204.79,ben_55383077,2025-06-09T23:59:59+05:30
txn_000011,2026-06-13T01:28:58.011359+05:30,cust_0198,UPI,3265.29,ben_19262213,2025-12-13T23:59:59+05:30
txn_000012,2026-06-13T01:37:53.874684+05:30,cust_0028,UPI,342.59,ben_16295187,2025-10-12T23:59:59+05:30
txn_000013,2026-06-13T01:44:59.290849+05:30,cust_0064,UPI,4018.16,ben_23897432,2025-07-24T23:59:59+05:30
txn_000014,2026-06-13T01:52:17.674542+05:30,cust_0396,IMPS,5805.59,ben_14762123,2025-10-06T23:59:59+05:30
txn_000015,2026-06-13T01:59:59.430427+05:30,cust_0269,UPI,4369.28,ben_84437066,2025-07-18T23:59:59+05:30
txn_000016,2026-06-13T02:04:20.150235+05:30,cust_0197,UPI,3175.04,ben_01918548,2026-02-15T23:59:59+05:30
txn_000017,2026-06-13T02:19:15.815671+05:30,cust_0091,NEFT,904777.54,ben_61140428,2026-05-04T23:59:59+05:30
txn_000018,2026-06-13T02:26:56.869791+05:30,cust_0064,IMPS,34486.21,ben_24617520,2025-06-03T23:59:59+05:30
txn_000019,2026-06-13T02:33:05.671155+05:30,cust_0174,RTGS,2250148.84,ben_13695528,2025-12-10T23:59:59+05:30
txn_000020,2026-06-13T02:33:49.993194+05:30,cust_0459,UPI,4657.18,ben_50032990,2025-11-28T23:59:59+05:30
txn_000021,2026-06-13T02:34:52.431696+05:30,cust_0019,IMPS,194451.77,ben_74312710,2025-07-02T23:59:59+05:30
txn_000022,2026-06-13T03:03:52.250088+05:30,cust_0318,IMPS,29090.7,ben_16518548,2025-10-09T23:59:59+05:30
txn_000023,2026-06-13T03:44:14.565551+05:30,cust_0292,RTGS,3943888.47,ben_89103909,2025-11-21T23:59:59+05:30
txn_000024,2026-06-13T03:50:55.077059+05:30,cust_0305,UPI,382.91,ben_65557864,2026-01-26T23:59:59+05:30
txn_000025,2026-06-13T04:00:50.886180+05:30,cust_0483,RTGS,2659883.54,ben_04481773,2025-06-04T23:59:59+05:30
txn_000026,2026-06-13T04:05:20.616545+05:30,cust_0071,NEFT,830215.79,ben_15114551,2026-02-13T23:59:59+05:30
txn_000027,2026-06-13T04:05:33.885739+05:30,cust_0374,UPI,4090.33,ben_18607429,2025-11-10T23:59:59+05:30
txn_000028,2026-06-13T04:10:48.368177+05:30,cust_0401,NEFT,751725.02,ben_42406628,2025-05-17T23:59:59+05:30
txn_000029,2026-06-13T04:14:06.859532+05:30,cust_0475,UPI,4735.25,ben_47085609,2026-04-11T23:59:59+05:30
txn_000030,2026-06-13T04:17:58.875696+05:30,cust_0444,IMPS,189156.04,ben_76006434,2025-12-11T23:59:59+05:30
txn_000031,2026-06-13T04:24:53.467597+05:30,cust_0229,UPI,4863.48,ben_32761794,2025-09-27T23:59:59+05:30
txn_000032,2026-06-13T04:33:58.412888+05:30,cust_0125,UPI,2894.76,ben_66215918,2025-10-10T23:59:59+05:30
txn_000033,2026-06-13T04:44:58.163827+05:30,cust_0341,IMPS,36839.16,ben_11350535,2025-05-18T23:59:59+05:30
txn_000034,2026-06-13T04:57:54.126966+05:30,cust_0210,UPI,767.91,ben_32772648,2026-03-13T23:59:59+05:30
txn_000035,2026-06-13T05:00:54.364343+05:30,cust_0145,UPI,3733.44,ben_35614038,2025-08-29T23:59:59+05:30
txn_000036,2026-06-13T05:03:15.743904+05:30,cust_0184,UPI,3997.43,ben_49169993,2025-11-22T23:59:59+05:30
txn_000037,2026-06-13T05:11:03.056813+05:30,cust_0142,NEFT,736085.29,ben_45446083,2026-02-10T23:59:59+05:30
txn_000038,2026-06-13T05:12:07.443381+05:30,cust_0408,UPI,3157.24,ben_70731744,2025-09-19T23:59:59+05:30
txn_000039,2026-06-13T05:16:37.090169+05:30,cust_0462,UPI,1188.77,ben_11992551,2025-10-11T23:59:59+05:30
txn_000040,2026-06-13T05:20:01.128600+05:30,cust_0237,RTGS,7680320.66,ben_53446042,2026-04-15T23:59:59+05:30
txn_000041,2026-06-13T05:21:22.861951+05:30,cust_0074,UPI,655.12,ben_66847323,2025-07-12T23:59:59+05:30
txn_000042,2026-06-13T05:28:41.417111+05:30,cust_0361,NEFT,661356.44,ben_66217758,2025-11-05T23:59:59+05:30
txn_000043,2026-06-13T05:33:55.118754+05:30,cust_0305,NEFT,514130.99,ben_57865557,2026-03-05T23:59:59+05:30
txn_000044,2026-06-13T05:52:30.830551+05:30,cust_0415,UPI,1735.65,ben_38146342,2025-07-02T23:59:59+05:30
txn_000045,2026-06-13T06:02:33.897082+05:30,cust_0234,UPI,3639.42,ben_82942034,2026-01-04T23:59:59+05:30
txn_000046,2026-06-13T06:09:54.470123+05:30,cust_0429,NEFT,638226.22,ben_16498283,2025-07-01T23:59:59+05:30
txn_000047,2026-06-13T06:39:23.180855+05:30,cust_0012,IMPS,121899.73,ben_46066643,2025-06-09T23:59:59+05:30
txn_000048,2026-06-13T06:40:28.386340+05:30,cust_0030,RTGS,8758790.28,ben_50105875,2026-02-27T23:59:59+05:30
txn_000049,2026-06-13T06:48:53.675364+05:30,cust_0050,IMPS,131543.14,ben_16772696,2025-09-13T23:59:59+05:30
txn_000050,2026-06-13T06:51:41.387790+05:30,cust_0449,UPI,2760.63,ben_00644885,2025-07-31T23:59:59+05:30
txn_000051,2026-06-13T06:55:06.631593+05:30,cust_0249,IMPS,107689.86,ben_29254686,2025-06-06T23:59:59+05:30
txn_000052,2026-06-13T06:55:33.422417+05:30,cust_0086,UPI,3945.97,ben_28946420,2025-07-08T23:59:59+05:30
txn_000053,2026-06-13T06:58:19.949182+05:30,cust_0141,IMPS,69152.83,ben_11232748,2026-01-17T23:59:59+05:30
txn_000054,2026-06-13T07:14:55.874697+05:30,cust_0426,UPI,4267.6,ben_58201630,2026-03-04T23:59:59+05:30
txn_000055,2026-06-13T07:18:48.544906+05:30,cust_0146,IMPS,177708.45,ben_46823546,2025-06-23T23:59:59+05:30
txn_000056,2026-06-13T07:30:01.245945+05:30,cust_0210,IMPS,51323.64,ben_83958558,2025-12-28T23:59:59+05:30
txn_000057,2026-06-13T07:33:44.930168+05:30,cust_0457,UPI,1365.03,ben_25492036,2025-06-01T23:59:59+05:30
txn_000058,2026-06-13T07:38:21.164996+05:30,cust_0248,IMPS,64616.65,ben_44654677,2026-03-18T23:59:59+05:30
txn_000059,2026-06-13T07:41:35.160905+05:30,cust_0384,NEFT,969668.54,ben_67105298,2026-05-05T23:59:59+05:30
txn_000060,2026-06-13T08:02:42.182342+05:30,cust_0085,NEFT,978528.92,ben_50982210,2025-07-23T23:59:59+05:30
txn_000061,2026-06-13T08:02:51.130252+05:30,cust_0493,UPI,94.8,ben_88377435,2025-06-30T23:59:59+05:30
txn_000062,2026-06-13T08:05:15.156714+05:30,cust_0402,UPI,1609.98,ben_69645359,2026-04-19T23:59:59+05:30
txn_000063,2026-06-13T08:14:01.801706+05:30,cust_0176,NEFT,6160.53,ben_36010712,2026-01-04T23:59:59+05:30
txn_000064,2026-06-13T08:15:31.898830+05:30,cust_0493,UPI,3962.51,ben_40476253,2025-12-14T23:59:59+05:30
txn_000065,2026-06-13T08:17:11.861565+05:30,cust_0367,UPI,1563.75,ben_05190854,2026-04-12T23:59:59+05:30
txn_000066,2026-06-13T08:47:27.864113+05:30,cust_0462,UPI,794.01,ben_55587094,2025-12-05T23:59:59+05:30
txn_000067,2026-06-13T08:51:52.029077+05:30,cust_0067,UPI,2130.18,ben_14488112,2026-04-14T23:59:59+05:30
txn_000068,2026-06-13T08:58:23.848151+05:30,cust_0484,UPI,1754.46,ben_30236416,2025-10-26T23:59:59+05:30
txn_000069,2026-06-13T09:00:16.121444+05:30,cust_0270,IMPS,116379.72,ben_35660503,2025-05-18T23:59:59+05:30
txn_000070,2026-06-13T09:12:09.267637+05:30,cust_0481,NEFT,671304.28,ben_06989354,2025-12-06T23:59:59+05:30
txn_000071,2026-06-13T09:15:10.118277+05:30,cust_0214,UPI,941.29,ben_01089857,2025-12-31T23:59:59+05:30
txn_000072,2026-06-13T09:22:35.487684+05:30,cust_0443,UPI,3487.94,ben_79903597,2026-01-07T23:59:59+05:30
txn_000073,2026-06-13T09:28:17.730048+05:30,cust_0418,RTGS,2515055.73,ben_21682682,2025-09-29T23:59:59+05:30
txn_000074,2026-06-13T09:41:24.019608+05:30,cust_0109,IMPS,72608.0,ben_10527698,2026-05-13T23:59:59+05:30
txn_000075,2026-06-13T09:53:42.480454+05:30,cust_0422,NEFT,967030.96,ben_94419147,2026-05-04T23:59:59+05:30
txn_000076,2026-06-13T09:55:42.664798+05:30,cust_0429,UPI,3200.6,ben_44607890,2025-11-01T23:59:59+05:30
txn_000077,2026-06-13T09:55:53.573388+05:30,cust_0153,NEFT,868308.85,ben_74189485,2025-06-19T23:59:59+05:30
txn_000078,2026-06-13T10:02:30.904891+05:30,cust_0355,UPI,4506.05,ben_77804579,2025-05-17T23:59:59+05:30
txn_000079,2026-06-13T10:05:09.726514+05:30,cust_0205,NEFT,482571.79,ben_98816498,2025-12-05T23:59:59+05:30
txn_000080,2026-06-13T10:15:54.808132+05:30,cust_0234,NEFT,58236.6,ben_60756999,2025-09-21T23:59:59+05:30
txn_000081,2026-06-13T10:27:52.530977+05:30,cust_0349,IMPS,80275.97,ben_56471855,2025-12-03T23:59:59+05:30
txn_000082,2026-06-13T10:35:26.441835+05:30,cust_0138,UPI,3485.38,ben_74625916,2026-03-12T23:59:59+05:30
txn_000083,2026-06-13T10:37:27.079835+05:30,cust_0108,UPI,2468.44,ben_36415471,2026-04-24T23:59:59+05:30
txn_000084,2026-06-13T10:41:55.236774+05:30,cust_0277,NEFT,781958.5,ben_27662080,2026-04-16T23:59:59+05:30
txn_000085,2026-06-13T10:42:31.938155+05:30,cust_0119,UPI,2566.31,ben_66538027,2025-08-14T23:59:59+05:30
txn_000086,2026-06-13T10:48:40.236662+05:30,cust_0443,UPI,2029.82,ben_56870941,2026-05-07T23:59:59+05:30
txn_000087,2026-06-13T11:06:01.257189+05:30,cust_0240,UPI,2266.78,ben_81827306,2025-09-11T23:59:59+05:30
txn_000088,2026-06-13T11:10:13.576242+05:30,cust_0082,IMPS,182797.49,ben_88158814,2026-02-07T23:59:59+05:30
txn_000089,2026-06-13T11:17:06.961440+05:30,cust_0388,NEFT,902547.16,ben_96556192,2026-03-05T23:59:59+05:30
txn_000090,2026-06-13T11:32:48.396986+05:30,cust_0219,UPI,834.32,ben_55116436,2026-01-22T23:59:59+05:30
txn_000091,2026-06-13T11:59:17.501799+05:30,cust_0367,IMPS,78387.09,ben_92724000,2025-08-17T23:59:59+05:30
txn_000092,2026-06-13T12:14:34.155102+05:30,cust_0199,IMPS,53635.23,ben_66020005,2025-12-05T23:59:59+05:30
txn_000093,2026-06-13T12:24:49.736626+05:30,cust_0381,UPI,2399.78,ben_81876209,2025-11-20T23:59:59+05:30
txn_000094,2026-06-13T12:33:22.373193+05:30,cust_0232,NEFT,799660.75,ben_27379897,2026-01-30T23:59:59+05:30
txn_000095,2026-06-13T12:47:19.656768+05:30,cust_0219,UPI,1201.18,ben_56154731,2025-08-16T23:59:59+05:30
txn_000096,2026-06-13T12:50:34.712432+05:30,cust_0409,UPI,4233.04,ben_73309900,2025-11-21T23:59:59+05:30
txn_000097,2026-06-13T12:51:35.689582+05:30,cust_0423,IMPS,127777.78,ben_28018323,2025-11-18T23:59:59+05:30
txn_000098,2026-06-13T12:59:30.360052+05:30,cust_0231,NEFT,385616.3,ben_20212372,2026-03-19T23:59:59+05:30
txn_000099,2026-06-13T13:05:16.944033+05:30,cust_0061,IMPS,140444.42,ben_24510910,2025-06-29T23:59:59+05:30
txn_000100,2026-06-13T13:06:51.106246+05:30,cust_0023,UPI,2009.82,ben_92749072,2025-11-01T23:59:59+05:30
txn_000101,2026-06-13T13:07:10.603429+05:30,cust_0421,NEFT,116140.54,ben_60479471,2025-10-19T23:59:59+05:30
txn_000102,2026-06-13T13:08:21.894387+05:30,cust_0097,UPI,149.93,ben_73008696,2026-04-03T23:59:59+05:30
txn_000103,2026-06-13T13:12:19.726808+05:30,cust_0106,UPI,2224.01,ben_96325942,2025-09-06T23:59:59+05:30
txn_000104,2026-06-13T13:17:11.691140+05:30,cust_0468,NEFT,213712.12,ben_87192615,2026-02-11T23:59:59+05:30
txn_000105,2026-06-13T13:23:37.272652+05:30,cust_0141,UPI,4499.4,ben_11232748,2026-01-17T23:59:59+05:30
txn_000106,2026-06-13T13:43:19.552977+05:30,cust_0318,IMPS,15667.0,ben_39660734,2025-11-20T23:59:59+05:30
txn_000107,2026-06-13T13:44:04.429901+05:30,cust_0393,UPI,2259.95,ben_18981061,2025-11-20T23:59:59+05:30
txn_000108,2026-06-13T13:47:43.823065+05:30,cust_0345,UPI,534.59,ben_30843769,2025-12-18T23:59:59+05:30
txn_000109,2026-06-13T13:50:43.407704+05:30,cust_0212,IMPS,85500.36,ben_33183611,2025-08-14T23:59:59+05:30
txn_000110,2026-06-13T13:52:54.724402+05:30,cust_0304,NEFT,936559.57,ben_96383097,2025-08-23T23:59:59+05:30
txn_000111,2026-06-13T13:55:01.336142+05:30,cust_0443,UPI,4152.37,ben_79903597,2026-01-07T23:59:59+05:30
txn_000112,2026-06-13T13:55:48.873367+05:30,cust_0284,UPI,1960.38,ben_95724043,2025-07-28T23:59:59+05:30
txn_000113,2026-06-13T14:01:03.779236+05:30,cust_0136,RTGS,792776.66,ben_00099424,2025-09-30T23:59:59+05:30
txn_000114,2026-06-13T14:12:23.536168+05:30,cust_0219,UPI,4729.86,ben_13589693,2026-01-23T23:59:59+05:30
txn_000115,2026-06-13T14:20:40.078374+05:30,cust_0170,UPI,2779.48,ben_35365974,2026-01-18T23:59:59+05:30
txn_000116,2026-06-13T15:17:25.235512+05:30,cust_0025,NEFT,470671.84,ben_39205677,2026-02-10T23:59:59+05:30
txn_000117,2026-06-13T15:18:15.944660+05:30,cust_0145,IMPS,43114.97,ben_35614038,2025-08-29T23:59:59+05:30
txn_000118,2026-06-13T15:22:10.920093+05:30,cust_0009,UPI,544.6,ben_28270908,2025-12-06T23:59:59+05:30
txn_000119,2026-06-13T15:26:16.077457+05:30,cust_0447,UPI,4229.03,ben_60669926,2026-01-31T23:59:59+05:30
txn_000120,2026-06-13T15:30:20.118369+05:30,cust_0404,IMPS,114721.34,ben_70690149,2026-03-31T23:59:59+05:30
txn_000121,2026-06-13T15:34:28.380180+05:30,cust_0205,RTGS,2574630.34,ben_27066489,2026-02-08T23:59:59+05:30
txn_000122,2026-06-13T15:41:01.043192+05:30,cust_0120,IMPS,119489.1,ben_40868250,2026-03-24T23:59:59+05:30
